player,sport_name,sport_id,market,line,side,american_price,decimal_price,payout_multiplier,selection_header,selection_subheader,updated_at
z1Nny,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, z1Nny,Lower 17.5 headshots on maps 1+2,2025-09-01T02:16:06Z
Spinx,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0,Spinx,Higher 31.5 kills on maps 1+2,2025-08-31T23:06:01Z
Spinx,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0,Spinx,Lower 31.5 kills on maps 1+2,2025-08-31T23:06:01Z
Spinx,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0,Spinx,Higher 19.0 headshots on maps 1+2,2025-08-31T23:06:01Z
Spinx,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0,Spinx,Lower 19.0 headshots on maps 1+2,2025-08-31T23:06:01Z
XiELO,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, XiELO,Higher 32.5 kills on maps 1+2,2025-09-01T00:29:04Z
XiELO,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, XiELO,Lower 32.5 kills on maps 1+2,2025-09-01T00:29:04Z
XiELO,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, XiELO,Higher 18.0 headshots on maps 1+2,2025-08-31T23:06:07Z
XiELO,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, XiELO,Lower 18.0 headshots on maps 1+2,2025-08-31T23:06:07Z
jcobbb,CS,CS,kills_on_maps_1_2,,over,-112.0,1.9,1.0, jcobbb,Higher 27.5 kills on maps 1+2,2025-09-01T00:29:52Z
jcobbb,CS,CS,kills_on_maps_1_2,,under,-112.0,1.9,1.0, jcobbb,Lower 27.5 kills on maps 1+2,2025-09-01T00:29:52Z
jcobbb,CS,CS,headshots_on_maps_1_2,,over,-112.0,1.9,1.0, jcobbb,Higher 19.5 headshots on maps 1+2,2025-08-31T14:00:13Z
jcobbb,CS,CS,headshots_on_maps_1_2,,under,-112.0,1.9,1.0, jcobbb,Lower 19.5 headshots on maps 1+2,2025-08-31T14:00:13Z
